A–H,B·,A·,B–H,TS,ML Barrier (kcal/mol),DFT Barrier (kcal/mol),Difference (kcal/mol)
PRE-G1k,PRE-O6,POST-G1k-H1,POST-O6,,16.45,17.90,-1.45
PRE-G1l,PRE-O6,POST-G1l-H1,POST-O6,,14.54,15.40,-0.86
PRE-G1m,PRE-O6,POST-G1m-H1,POST-O6,,12.88,11.90,0.98
PRE-H1a,PRE-O6,POST-H1a-H1,POST-O6,,11.44,12.00,-0.56
PRE-H1b,PRE-O6,POST-H1b-H1,POST-O6,,13.69,15.20,-1.51
PRE-H1d,PRE-O6,POST-H1d-H1,POST-O6,,14.96,15.40,-0.44
PRE-H1e,PRE-O6,POST-H1e-H1,POST-O6,,10.76,11.30,-0.54
PRE-H1f,PRE-O6,POST-H1f-H1,POST-O6,,10.72,11.40,-0.68
PRE-H1h,PRE-O6,POST-H1h-H1,POST-O6,,10.63,10.30,0.33
PRE-H1j,PRE-O6,POST-H1j-H1,POST-O6,,13.57,14.20,-0.63
PRE-H1k,PRE-O6,POST-H1k-H1,POST-O6,,14.48,15.00,-0.52
PRE-H1l,PRE-O6,POST-H1l-H1,POST-O6,,12.89,14.20,-1.31
PRE-H1m,PRE-O6,POST-H1m-H1,POST-O6,,11.89,11.80,0.09
PRE-I1a,PRE-O6,POST-I1a-H1,POST-O6,,7.09,6.80,0.29
PRE-I1b,PRE-O6,POST-I1b-H1,POST-O6,,10.24,10.90,-0.66
PRE-I1c,PRE-O6,POST-I1c-H1,POST-O6,,6.64,5.50,1.14
PRE-I1d,PRE-O6,POST-I1d-H1,POST-O6,,10.55,11.50,-0.95
PRE-I1e,PRE-O6,POST-I1e-H1,POST-O6,,7.81,8.00,-0.19
PRE-I1f,PRE-O6,POST-I1f-H1,POST-O6,,7.62,7.90,-0.28
PRE-I1h,PRE-O6,POST-I1h-H1,POST-O6,,7.67,7.10,0.57
PRE-I1j,PRE-O6,POST-I1j-H1,POST-O6,,9.35,10.10,-0.75
PRE-I1k,PRE-O6,POST-I1k-H1,POST-O6,,9.00,9.90,-0.90
PRE-I1l,PRE-O6,POST-I1l-H1,POST-O6,,7.68,8.40,-0.72
PRE-I1m,PRE-O6,POST-I1m-H1,POST-O6,,7.37,7.10,0.27
PRE-I1n,PRE-O6,POST-I1n-H1,POST-O6,,7.69,7.90,-0.21
PRE-J1a,PRE-O6,POST-J1a-H1,POST-O6,,8.80,9.50,-0.70
PRE-J1b,PRE-O6,POST-J1b-H1,POST-O6,,10.26,10.10,0.16
PRE-J1d,PRE-O6,POST-J1d-H1,POST-O6,,10.56,10.30,0.26
PRE-J1e,PRE-O6,POST-J1e-H1,POST-O6,,9.08,9.90,-0.82
PRE-J1f,PRE-O6,POST-J1f-H1,POST-O6,,8.63,9.50,-0.87
PRE-J1h,PRE-O6,POST-J1h-H1,POST-O6,,8.78,9.40,-0.62
PRE-J1i,PRE-O6,POST-J1i-H1,POST-O6,,9.05,9.70,-0.65
PRE-J1j,PRE-O6,POST-J1j-H1,POST-O6,,9.58,9.70,-0.12
PRE-J1k,PRE-O6,POST-J1k-H1,POST-O6,,10.21,10.60,-0.39
PRE-J1l,PRE-O6,POST-J1l-H1,POST-O6,,10.08,9.70,0.38
PRE-J1m,PRE-O6,POST-J1m-H1,POST-O6,,9.11,9.30,-0.19
PRE-J1n,PRE-O6,POST-J1n-H1,POST-O6,,8.29,8.10,0.19
PRE-SI1,PRE-O6,POST-SI1-H1,POST-O6,,7.00,6.90,0.10
PRE-SI2,PRE-O6,POST-SI2-H1,POST-O6,,7.22,8.10,-0.88
PRE-SI3,PRE-O6,POST-SI3-H1,POST-O6,,7.45,7.10,0.35
PRE-A1a,PRE-S1,POST-A1a-H1,POST-S1,,22.35,23.10,-0.75
PRE-A1b,PRE-S1,POST-A1b-H1,POST-S1,,26.41,27.60,-1.19
PRE-A1c,PRE-S1,POST-A1c-H1,POST-S1,,13.75,14.10,-0.35
PRE-A1d,PRE-S1,POST-A1d-H1,POST-S1,,28.69,30.00,-1.31
PRE-A1e,PRE-S1,POST-A1e-H1,POST-S1,,17.96,18.20,-0.24
PRE-A1f,PRE-S1,POST-A1f-H1,POST-S1,,17.79,18.10,-0.31
PRE-A1h,PRE-S1,POST-A1h-H1,POST-S1,,18.56,19.00,-0.44
PRE-A1i,PRE-S1,POST-A1i-H1,POST-S1,,27.08,27.60,-0.52
PRE-A1m,PRE-S1,POST-A1m-H1,POST-S1,,24.75,25.40,-0.65
PRE-A1n,PRE-S1,POST-A1n-H1,POST-S1,,11.59,11.80,-0.21
PRE-B1a,PRE-S1,POST-B1a-H1,POST-S1,,19.78,20.40,-0.62
PRE-B1a,PRE-S1,POST-B1a-H3,POST-S1,,23.84,24.30,-0.46
PRE-B1b,PRE-S1,POST-B1b-H1,POST-S1,,22.58,23.20,-0.62
PRE-B1b,PRE-S1,POST-B1b-H2,POST-S1,,22.56,22.60,-0.04
PRE-B1b,PRE-S1,POST-B1b-H3,POST-S1,,25.03,25.30,-0.27
PRE-B1c,PRE-S1,POST-B1c-H1,POST-S1,,12.10,12.80,-0.70
PRE-B1c,PRE-S1,POST-B1c-H2,POST-S1,,20.46,20.70,-0.24
PRE-B1c,PRE-S1,POST-B1c-H3,POST-S1,,23.92,24.40,-0.48
PRE-B1d,PRE-S1,POST-B1d-H1,POST-S1,,24.46,25.50,-1.04
PRE-B1d,PRE-S1,POST-B1d-H2,POST-S1,,24.03,25.20,-1.17
PRE-B1d,PRE-S1,POST-B1d-H3,POST-S1,,25.81,26.10,-0.29
PRE-B1e,PRE-S1,POST-B1e-H1,POST-S1,,16.21,16.30,-0.09
PRE-B1e,PRE-S1,POST-B1e-H2,POST-S1,,20.43,21.30,-0.87
PRE-B1e,PRE-S1,POST-B1e-H3,POST-S1,,24.26,24.70,-0.44
PRE-B1f,PRE-S1,POST-B1f-H1,POST-S1,,15.57,16.00,-0.43
PRE-B1f,PRE-S1,POST-B1f-H2,POST-S1,,20.94,21.50,-0.56
PRE-B1f,PRE-S1,POST-B1f-H3,POST-S1,,24.13,25.30,-1.17
PRE-B1g,PRE-S1,POST-B1g-H1,POST-S1,,17.26,16.90,0.36
PRE-B1g,PRE-S1,POST-B1g-H2,POST-S1,,22.67,23.10,-0.43
PRE-B1g,PRE-S1,POST-B1g-H3,POST-S1,,24.68,25.00,-0.32
PRE-B1h,PRE-S1,POST-B1h-H1,POST-S1,,15.87,15.00,0.87
PRE-B1h,PRE-S1,POST-B1h-H2,POST-S1,,20.91,19.50,1.41
PRE-B1h,PRE-S1,POST-B1h-H3,POST-S1,,23.90,23.10,0.80
PRE-B1m,PRE-S1,POST-B1m-H1,POST-S1,,20.50,20.60,-0.10
PRE-B1m,PRE-S1,POST-B1m-H2,POST-S1,,19.55,20.10,-0.55
PRE-B1m,PRE-S1,POST-B1m-H3,POST-S1,,23.98,24.20,-0.22
PRE-B1n,PRE-S1,POST-B1n-H1,POST-S1,,10.38,10.50,-0.12
PRE-B1n,PRE-S1,POST-B1n-H2,POST-S1,,20.13,20.70,-0.57
PRE-B1n,PRE-S1,POST-B1n-H3,POST-S1,,24.03,24.20,-0.17
PRE-B2a,PRE-S1,POST-B2a-H1,POST-S1,,17.02,17.50,-0.48
PRE-B2a,PRE-S1,POST-B2a-H2,POST-S1,,24.41,24.90,-0.49
PRE-B2b,PRE-S1,POST-B2b-H1,POST-S1,,19.73,20.70,-0.97
PRE-B2b,PRE-S1,POST-B2b-H2,POST-S1,,27.08,27.80,-0.72
PRE-B2c,PRE-S1,POST-B2c-H1,POST-S1,,10.06,10.30,-0.24
PRE-B2c,PRE-S1,POST-B2c-H2,POST-S1,,25.07,25.80,-0.73
PRE-B2d,PRE-S1,POST-B2d-H1,POST-S1,,22.02,22.60,-0.58
PRE-B2d,PRE-S1,POST-B2d-H2,POST-S1,,27.43,27.70,-0.27
PRE-B2e,PRE-S1,POST-B2e-H1,POST-S1,,15.10,15.70,-0.60
PRE-B2e,PRE-S1,POST-B2e-H2,POST-S1,,24.37,25.60,-1.23
PRE-B2f,PRE-S1,POST-B2f-H1,POST-S1,,14.71,15.40,-0.69
PRE-B2f,PRE-S1,POST-B2f-H2,POST-S1,,25.30,25.80,-0.50
PRE-B2g,PRE-S1,POST-B2g-H2,POST-S1,,26.12,27.10,-0.98
PRE-B2h,PRE-S1,POST-B2h-H1,POST-S1,,13.93,13.40,0.53
PRE-B2h,PRE-S1,POST-B2h-H2,POST-S1,,25.20,24.50,0.70
PRE-B2m,PRE-S1,POST-B2m-H1,POST-S1,,17.61,18.10,-0.49
PRE-B2m,PRE-S1,POST-B2m-H2,POST-S1,,23.60,24.00,-0.40
PRE-B2n,PRE-S1,POST-B2n-H1,POST-S1,,9.64,9.80,-0.16
PRE-B2n,PRE-S1,POST-B2n-H2,POST-S1,,24.19,25.00,-0.81
PRE-C1a,PRE-S1,POST-C1a-H1,POST-S1,,15.42,15.70,-0.28
PRE-C1b,PRE-S1,POST-C1b-H1,POST-S1,,18.65,19.20,-0.55
PRE-C1c,PRE-S1,POST-C1c-H1,POST-S1,,9.42,9.80,-0.38
PRE-C1d,PRE-S1,POST-C1d-H1,POST-S1,,20.63,21.40,-0.77
PRE-C1e,PRE-S1,POST-C1e-H1,POST-S1,,13.41,13.50,-0.09
PRE-C1f,PRE-S1,POST-C1f-H1,POST-S1,,12.44,13.00,-0.56
PRE-C1g,PRE-S1,POST-C1g-H1,POST-S1,,14.45,14.70,-0.25
PRE-C1h,PRE-S1,POST-C1h-H1,POST-S1,,12.21,10.90,1.31
PRE-C1i,PRE-S1,POST-C1i-H1,POST-S1,,18.35,18.90,-0.55
PRE-C1m,PRE-S1,POST-C1m-H1,POST-S1,,16.49,16.50,-0.01
PRE-C1n,PRE-S1,POST-C1n-H1,POST-S1,,7.68,7.30,0.38
PRE-D1a,PRE-S1,POST-D1a-H1,POST-S1,,13.40,13.70,-0.30
PRE-D1b,PRE-S1,POST-D1b-H1,POST-S1,,16.89,17.80,-0.91
PRE-D1c,PRE-S1,POST-D1c-H1,POST-S1,,8.33,8.40,-0.07
PRE-D1d,PRE-S1,POST-D1d-H1,POST-S1,,19.17,19.50,-0.33
PRE-D1e,PRE-S1,POST-D1e-H1,POST-S1,,13.31,15.10,-1.79
PRE-D1f,PRE-S1,POST-D1f-H1,POST-S1,,11.48,13.20,-1.72
PRE-D1h,PRE-S1,POST-D1h-H1,POST-S1,,11.19,10.20,0.99
PRE-D1m,PRE-S1,POST-D1m-H1,POST-S1,,14.75,15.10,-0.35
PRE-D1n,PRE-S1,POST-D1n-H1,POST-S1,,8.36,8.80,-0.44
PRE-E1a,PRE-S1,POST-E1a-H1,POST-S1,,18.25,18.70,-0.45
PRE-E1b,PRE-S1,POST-E1b-H1,POST-S1,,21.10,21.80,-0.70
PRE-E1c,PRE-S1,POST-E1c-H1,POST-S1,,12.23,12.80,-0.57
PRE-E1d,PRE-S1,POST-E1d-H1,POST-S1,,23.72,24.70,-0.98
PRE-E1e,PRE-S1,POST-E1e-H1,POST-S1,,14.99,15.70,-0.71
PRE-E1f,PRE-S1,POST-E1f-H1,POST-S1,,15.18,15.80,-0.62
PRE-E1g,PRE-S1,POST-E1g-H1,POST-S1,,14.92,15.60,-0.68
PRE-E1h,PRE-S1,POST-E1h-H1,POST-S1,,15.23,13.80,1.43
PRE-E1i,PRE-S1,POST-E1i-H1,POST-S1,,20.76,21.70,-0.94
PRE-E1m,PRE-S1,POST-E1m-H1,POST-S1,,18.60,19.10,-0.50
PRE-E1n,PRE-S1,POST-E1n-H1,POST-S1,,10.11,10.10,0.01
PRE-F1a,PRE-S1,POST-F1a-H1,POST-S1,,15.28,15.40,-0.12
PRE-F1b,PRE-S1,POST-F1b-H1,POST-S1,,17.94,18.80,-0.86
PRE-F1c,PRE-S1,POST-F1c-H1,POST-S1,,9.01,9.40,-0.39
PRE-F1d,PRE-S1,POST-F1d-H1,POST-S1,,22.90,23.80,-0.90
PRE-F1e,PRE-S1,POST-F1e-H1,POST-S1,,14.75,15.10,-0.35
PRE-F1f,PRE-S1,POST-F1f-H1,POST-S1,,13.19,14.20,-1.01
PRE-F1h,PRE-S1,POST-F1h-H1,POST-S1,,12.09,11.10,0.99
PRE-F1m,PRE-S1,POST-F1m-H1,POST-S1,,19.46,19.50,-0.04
PRE-F1n,PRE-S1,POST-F1n-H1,POST-S1,,10.49,10.40,0.09
PRE-G1a,PRE-S1,POST-G1a-H1,POST-S1,,16.85,16.80,0.05
PRE-G1b,PRE-S1,POST-G1b-H1,POST-S1,,19.49,19.00,0.49
PRE-G1c,PRE-S1,POST-G1c-H1,POST-S1,,9.73,9.80,-0.07
PRE-G1d,PRE-S1,POST-G1d-H1,POST-S1,,23.40,24.40,-1.00
PRE-G1e,PRE-S1,POST-G1e-H1,POST-S1,,14.24,14.50,-0.26
PRE-G1f,PRE-S1,POST-G1f-H1,POST-S1,,13.34,13.90,-0.56
PRE-G1g,PRE-S1,POST-G1g-H1,POST-S1,,15.65,16.70,-1.05
PRE-G1h,PRE-S1,POST-G1h-H1,POST-S1,,12.90,11.50,1.40
PRE-G1i,PRE-S1,POST-G1i-H1,POST-S1,,19.42,20.00,-0.58
PRE-G1m,PRE-S1,POST-G1m-H1,POST-S1,,19.77,20.60,-0.83
PRE-G1n,PRE-S1,POST-G1n-H1,POST-S1,,10.38,10.60,-0.22
PRE-H1a,PRE-S1,POST-H1a-H1,POST-S1,,15.89,16.70,-0.81
PRE-H1b,PRE-S1,POST-H1b-H1,POST-S1,,18.42,19.60,-1.18
PRE-H1c,PRE-S1,POST-H1c-H1,POST-S1,,10.04,10.20,-0.16
PRE-H1d,PRE-S1,POST-H1d-H1,POST-S1,,20.73,22.00,-1.27
PRE-H1e,PRE-S1,POST-H1e-H1,POST-S1,,13.60,14.70,-1.10
PRE-H1f,PRE-S1,POST-H1f-H1,POST-S1,,13.73,14.80,-1.07
PRE-H1h,PRE-S1,POST-H1h-H1,POST-S1,,13.54,12.60,0.94
PRE-H1m,PRE-S1,POST-H1m-H1,POST-S1,,16.55,16.80,-0.25
PRE-H1n,PRE-S1,POST-H1n-H1,POST-S1,,10.03,10.30,-0.27
PRE-I1a,PRE-S1,POST-I1a-H1,POST-S1,,12.95,13.40,-0.45
PRE-I1b,PRE-S1,POST-I1b-H1,POST-S1,,17.63,17.80,-0.17
PRE-I1c,PRE-S1,POST-I1c-H1,POST-S1,,12.37,12.20,0.17
PRE-I1d,PRE-S1,POST-I1d-H1,POST-S1,,17.69,18.30,-0.61
PRE-I1e,PRE-S1,POST-I1e-H1,POST-S1,,14.29,15.60,-1.31
PRE-I1f,PRE-S1,POST-I1f-H1,POST-S1,,14.02,14.90,-0.88
PRE-I1h,PRE-S1,POST-I1h-H1,POST-S1,,13.12,12.20,0.92
PRE-I1m,PRE-S1,POST-I1m-H1,POST-S1,,12.67,12.50,0.17
PRE-I1n,PRE-S1,POST-I1n-H1,POST-S1,,12.13,11.90,0.23
PRE-J1a,PRE-S1,POST-J1a-H1,POST-S1,,15.61,15.70,-0.09
PRE-J1b,PRE-S1,POST-J1b-H1,POST-S1,,17.15,16.30,0.85
PRE-J1c,PRE-S1,POST-J1c-H1,POST-S1,,14.47,14.30,0.17
PRE-J1d,PRE-S1,POST-J1d-H1,POST-S1,,17.47,17.00,0.47
PRE-J1e,PRE-S1,POST-J1e-H1,POST-S1,,16.13,17.30,-1.17
PRE-J1f,PRE-S1,POST-J1f-H1,POST-S1,,15.49,17.00,-1.51
PRE-J1h,PRE-S1,POST-J1h-H1,POST-S1,,15.27,14.90,0.37
PRE-J1i,PRE-S1,POST-J1i-H1,POST-S1,,15.87,15.70,0.17
PRE-J1m,PRE-S1,POST-J1m-H1,POST-S1,,15.76,15.80,-0.04
PRE-J1n,PRE-S1,POST-J1n-H1,POST-S1,,14.67,14.80,-0.13
PRE-SI1,PRE-S1,POST-SI1-H1,POST-S1,,12.67,13.50,-0.83
PRE-SI2,PRE-S1,POST-SI2-H1,POST-S1,,13.09,13.40,-0.31
PRE-SI3,PRE-S1,POST-SI3-H1,POST-S1,,12.92,13.60,-0.68
PRE-A1a,PRE-S2,POST-A1a-H1,POST-S2,,21.19,21.40,-0.21
PRE-A1b,PRE-S2,POST-A1b-H1,POST-S2,,25.03,26.20,-1.17
PRE-A1c,PRE-S2,POST-A1c-H1,POST-S2,,12.81,12.30,0.51
PRE-A1d,PRE-S2,POST-A1d-H1,POST-S2,,27.66,28.30,-0.64
PRE-A1e,PRE-S2,POST-A1e-H1,POST-S2,,17.61,17.40,0.21
PRE-A1f,PRE-S2,POST-A1f-H1,POST-S2,,17.06,16.70,0.36
PRE-A1h,PRE-S2,POST-A1h-H1,POST-S2,,17.85,18.10,-0.25
PRE-A1i,PRE-S2,POST-A1i-H1,POST-S2,,26.55,25.60,0.95
PRE-A1j,PRE-S2,POST-A1j-H1,POST-S2,,24.18,24.70,-0.52
PRE-A1k,PRE-S2,POST-A1k-H1,POST-S2,,30.15,29.90,0.25
PRE-A1l,PRE-S2,POST-A1l-H1,POST-S2,,23.19,23.30,-0.11
PRE-A1m,PRE-S2,POST-A1m-H1,POST-S2,,23.85,23.70,0.15
PRE-A1n,PRE-S2,POST-A1n-H1,POST-S2,,11.07,10.80,0.27
PRE-B1a,PRE-S2,POST-B1a-H1,POST-S2,,19.19,18.80,0.39
PRE-B1a,PRE-S2,POST-B1a-H3,POST-S2,,22.88,23.10,-0.22
PRE-B1b,PRE-S2,POST-B1b-H1,POST-S2,,21.76,22.10,-0.34
PRE-B1b,PRE-S2,POST-B1b-H2,POST-S2,,21.74,21.80,-0.06
PRE-B1b,PRE-S2,POST-B1b-H3,POST-S2,,24.13,24.40,-0.27
PRE-B1c,PRE-S2,POST-B1c-H1,POST-S2,,11.34,10.60,0.74
PRE-B1c,PRE-S2,POST-B1c-H2,POST-S2,,19.84,19.30,0.54
PRE-B1c,PRE-S2,POST-B1c-H3,POST-S2,,22.96,23.10,-0.14
PRE-B1d,PRE-S2,POST-B1d-H1,POST-S2,,23.88,24.30,-0.42
PRE-B1d,PRE-S2,POST-B1d-H2,POST-S2,,23.21,22.70,0.51
PRE-B1d,PRE-S2,POST-B1d-H3,POST-S2,,24.87,24.30,0.57
PRE-B1e,PRE-S2,POST-B1e-H1,POST-S2,,16.01,17.10,-1.09
PRE-B1e,PRE-S2,POST-B1e-H2,POST-S2,,20.14,20.50,-0.36
PRE-B1e,PRE-S2,POST-B1e-H3,POST-S2,,23.38,23.80,-0.42
PRE-B1f,PRE-S2,POST-B1f-H1,POST-S2,,15.35,15.60,-0.25
PRE-B1f,PRE-S2,POST-B1f-H2,POST-S2,,20.45,20.80,-0.35
PRE-B1f,PRE-S2,POST-B1f-H3,POST-S2,,23.16,23.50,-0.34
PRE-B1g,PRE-S2,POST-B1g-H1,POST-S2,,17.46,17.30,0.16
PRE-B1g,PRE-S2,POST-B1g-H2,POST-S2,,21.89,23.40,-1.51
PRE-B1g,PRE-S2,POST-B1g-H3,POST-S2,,23.86,24.30,-0.44
PRE-B1h,PRE-S2,POST-B1h-H1,POST-S2,,16.00,16.20,-0.20
PRE-B1h,PRE-S2,POST-B1h-H2,POST-S2,,20.45,20.70,-0.25
PRE-B1h,PRE-S2,POST-B1h-H3,POST-S2,,23.15,23.40,-0.25
PRE-B1j,PRE-S2,POST-B1j-H1,POST-S2,,21.64,22.30,-0.66
PRE-B1j,PRE-S2,POST-B1j-H2,POST-S2,,21.65,21.40,0.25
PRE-B1j,PRE-S2,POST-B1j-H3,POST-S2,,23.83,24.10,-0.27
PRE-B1k,PRE-S2,POST-B1k-H1,POST-S2,,26.31,26.50,-0.19
PRE-B1k,PRE-S2,POST-B1k-H2,POST-S2,,21.47,21.60,-0.13
PRE-B1k,PRE-S2,POST-B1k-H3,POST-S2,,23.75,24.90,-1.15
PRE-B1l,PRE-S2,POST-B1l-H1,POST-S2,,21.04,20.90,0.14
PRE-B1l,PRE-S2,POST-B1l-H2,POST-S2,,20.68,20.60,0.08
PRE-B1l,PRE-S2,POST-B1l-H3,POST-S2,,23.15,23.30,-0.15
PRE-B1m,PRE-S2,POST-B1m-H1,POST-S2,,20.60,21.80,-1.20
PRE-B1m,PRE-S2,POST-B1m-H2,POST-S2,,19.57,20.00,-0.43
PRE-B1m,PRE-S2,POST-B1m-H3,POST-S2,,23.02,22.90,0.12
PRE-B1n,PRE-S2,POST-B1n-H1,POST-S2,,11.05,10.20,0.85
PRE-B1n,PRE-S2,POST-B1n-H2,POST-S2,,20.12,20.90,-0.78
PRE-B1n,PRE-S2,POST-B1n-H3,POST-S2,,23.23,23.50,-0.27
PRE-B2a,PRE-S2,POST-B2a-H1,POST-S2,,17.21,17.50,-0.29
PRE-B2a,PRE-S2,POST-B2a-H2,POST-S2,,23.35,23.40,-0.05
PRE-B2b,PRE-S2,POST-B2b-H1,POST-S2,,19.20,19.50,-0.30
PRE-B2b,PRE-S2,POST-B2b-H2,POST-S2,,26.04,25.50,0.54
PRE-B2c,PRE-S2,POST-B2c-H1,POST-S2,,10.81,9.70,1.11
PRE-B2c,PRE-S2,POST-B2c-H2,POST-S2,,24.12,24.90,-0.78
PRE-B2d,PRE-S2,POST-B2d-H1,POST-S2,,21.19,21.80,-0.61
PRE-B2d,PRE-S2,POST-B2d-H2,POST-S2,,26.68,27.00,-0.32
PRE-B2e,PRE-S2,POST-B2e-H1,POST-S2,,14.69,15.00,-0.31
PRE-B2e,PRE-S2,POST-B2e-H2,POST-S2,,23.58,24.30,-0.72
PRE-B2f,PRE-S2,POST-B2f-H1,POST-S2,,14.43,14.60,-0.17
PRE-B2f,PRE-S2,POST-B2f-H2,POST-S2,,24.48,24.90,-0.42
PRE-B2g,PRE-S2,POST-B2g-H2,POST-S2,,25.32,26.60,-1.28
PRE-B2h,PRE-S2,POST-B2h-H1,POST-S2,,13.63,13.90,-0.27
PRE-B2h,PRE-S2,POST-B2h-H2,POST-S2,,24.33,24.00,0.33
PRE-B2j,PRE-S2,POST-B2j-H1,POST-S2,,19.65,20.40,-0.75
PRE-B2j,PRE-S2,POST-B2j-H2,POST-S2,,24.98,25.40,-0.42
PRE-B2k,PRE-S2,POST-B2k-H1,POST-S2,,22.98,23.60,-0.62
PRE-B2k,PRE-S2,POST-B2k-H2,POST-S2,,25.52,26.00,-0.48
PRE-B2l,PRE-S2,POST-B2l-H1,POST-S2,,16.83,16.20,0.63
PRE-B2l,PRE-S2,POST-B2l-H2,POST-S2,,23.64,23.60,0.04
PRE-B2m,PRE-S2,POST-B2m-H1,POST-S2,,17.85,19.30,-1.45
PRE-B2m,PRE-S2,POST-B2m-H2,POST-S2,,23.02,23.40,-0.38
PRE-B2n,PRE-S2,POST-B2n-H1,POST-S2,,11.60,11.10,0.50
PRE-B2n,PRE-S2,POST-B2n-H2,POST-S2,,23.43,23.80,-0.37
PRE-C1a,PRE-S2,POST-C1a-H1,POST-S2,,15.00,14.80,0.20
PRE-C1b,PRE-S2,POST-C1b-H1,POST-S2,,18.40,18.60,-0.20
PRE-C1c,PRE-S2,POST-C1c-H1,POST-S2,,9.56,10.00,-0.44
PRE-C1d,PRE-S2,POST-C1d-H1,POST-S2,,19.98,21.00,-1.02
PRE-C1e,PRE-S2,POST-C1e-H1,POST-S2,,13.82,14.40,-0.58
PRE-C1f,PRE-S2,POST-C1f-H1,POST-S2,,12.14,12.70,-0.56
PRE-C1g,PRE-S2,POST-C1g-H1,POST-S2,,15.04,16.20,-1.16
PRE-C1h,PRE-S2,POST-C1h-H1,POST-S2,,12.31,12.20,0.11
PRE-C1i,PRE-S2,POST-C1i-H1,POST-S2,,17.73,18.20,-0.47
PRE-C1j,PRE-S2,POST-C1j-H1,POST-S2,,18.22,17.70,0.52
PRE-C1k,PRE-S2,POST-C1k-H1,POST-S2,,20.65,21.00,-0.35
PRE-C1l,PRE-S2,POST-C1l-H1,POST-S2,,15.98,15.60,0.38
PRE-C1m,PRE-S2,POST-C1m-H1,POST-S2,,16.26,16.90,-0.64
PRE-C1n,PRE-S2,POST-C1n-H1,POST-S2,,7.56,6.80,0.76
PRE-D1a,PRE-S2,POST-D1a-H1,POST-S2,,13.87,13.90,-0.03
PRE-D1b,PRE-S2,POST-D1b-H1,POST-S2,,16.30,17.10,-0.80
PRE-D1c,PRE-S2,POST-D1c-H1,POST-S2,,9.36,8.60,0.76
PRE-D1d,PRE-S2,POST-D1d-H1,POST-S2,,18.77,19.60,-0.83
PRE-D1e,PRE-S2,POST-D1e-H1,POST-S2,,13.41,13.70,-0.29
PRE-D1f,PRE-S2,POST-D1f-H1,POST-S2,,10.95,11.10,-0.15
PRE-D1h,PRE-S2,POST-D1h-H1,POST-S2,,11.55,10.70,0.85
PRE-D1j,PRE-S2,POST-D1j-H1,POST-S2,,17.00,17.70,-0.70
PRE-D1k,PRE-S2,POST-D1k-H1,POST-S2,,19.04,19.90,-0.86
PRE-D1l,PRE-S2,POST-D1l-H1,POST-S2,,15.31,14.90,0.41
PRE-D1m,PRE-S2,POST-D1m-H1,POST-S2,,15.65,16.40,-0.75
PRE-D1n,PRE-S2,POST-D1n-H1,POST-S2,,8.46,8.70,-0.24
PRE-E1a,PRE-S2,POST-E1a-H1,POST-S2,,17.53,17.40,0.13
PRE-E1b,PRE-S2,POST-E1b-H1,POST-S2,,20.52,21.60,-1.08
PRE-E1c,PRE-S2,POST-E1c-H1,POST-S2,,11.87,11.90,-0.03
PRE-E1d,PRE-S2,POST-E1d-H1,POST-S2,,22.92,23.30,-0.38
PRE-E1e,PRE-S2,POST-E1e-H1,POST-S2,,14.97,14.70,0.27
PRE-E1f,PRE-S2,POST-E1f-H1,POST-S2,,14.89,14.80,0.09
PRE-E1g,PRE-S2,POST-E1g-H1,POST-S2,,14.22,14.40,-0.18
PRE-E1h,PRE-S2,POST-E1h-H1,POST-S2,,14.92,15.30,-0.38
PRE-E1i,PRE-S2,POST-E1i-H1,POST-S2,,19.80,20.60,-0.80
PRE-E1j,PRE-S2,POST-E1j-H1,POST-S2,,20.18,20.00,0.18
PRE-E1k,PRE-S2,POST-E1k-H1,POST-S2,,22.17,22.90,-0.73
PRE-E1l,PRE-S2,POST-E1l-H1,POST-S2,,19.03,18.50,0.53
PRE-E1m,PRE-S2,POST-E1m-H1,POST-S2,,18.59,18.20,0.39
PRE-E1n,PRE-S2,POST-E1n-H1,POST-S2,,9.67,9.00,0.67
PRE-F1a,PRE-S2,POST-F1a-H1,POST-S2,,15.18,14.70,0.48
PRE-F1b,PRE-S2,POST-F1b-H1,POST-S2,,17.69,18.20,-0.51
PRE-F1c,PRE-S2,POST-F1c-H1,POST-S2,,9.25,9.40,-0.15
PRE-F1d,PRE-S2,POST-F1d-H1,POST-S2,,21.99,23.30,-1.31
PRE-F1e,PRE-S2,POST-F1e-H1,POST-S2,,15.04,15.40,-0.36
PRE-F1f,PRE-S2,POST-F1f-H1,POST-S2,,12.99,12.30,0.69
PRE-F1h,PRE-S2,POST-F1h-H1,POST-S2,,12.40,12.50,-0.10
PRE-F1j,PRE-S2,POST-F1j-H1,POST-S2,,18.28,19.00,-0.72
PRE-F1k,PRE-S2,POST-F1k-H1,POST-S2,,22.23,23.00,-0.77
PRE-F1l,PRE-S2,POST-F1l-H1,POST-S2,,18.63,19.30,-0.67
PRE-F1m,PRE-S2,POST-F1m-H1,POST-S2,,19.64,19.80,-0.16
PRE-F1n,PRE-S2,POST-F1n-H1,POST-S2,,11.24,11.70,-0.46
PRE-G1a,PRE-S2,POST-G1a-H1,POST-S2,,16.79,16.30,0.49
PRE-G1b,PRE-S2,POST-G1b-H1,POST-S2,,18.96,19.50,-0.54
PRE-G1c,PRE-S2,POST-G1c-H1,POST-S2,,9.74,10.10,-0.36
